"","Provider.ID","Hospital.Name","ZIP.Code","County.Name","Phone.Number","HCAHPS.Measure.ID","HCAHPS.Question","HCAHPS.Answer.Description","HCAHPS.Answer.Percent","Number.of.Completed.Surveys","Survey.Response.Rate.Percent","Footnote","Measure.Start.Date","Measure.End.Date","Location","Location.1"
"11",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",7,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"12",461300,"DELTA COMMUNITY MEDICAL CENTER",84624,"MILLARD",4.36e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",9,"Fewer than 100",34,6,"01/01/2013 12:00:00 AM","########","126 SOUTH WHITE SAGE AVENUE
DELTA, UT 84624
(39.34974253100006, -112.56026558899998)","126 SOUTH WHITE SAGE AVENUE
DELTA, UT
(39.34974253100006, -112.56026558899998)"
"13",461300,"DELTA COMMUNITY MEDICAL CENTER",84624,"MILLARD",4.36e+09,"H_RECMND_DN","Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",2,"Fewer than 100",34,6,"01/01/2013 12:00:00 AM","########","126 SOUTH WHITE SAGE AVENUE
DELTA, UT 84624
(39.34974253100006, -112.56026558899998)","126 SOUTH WHITE SAGE AVENUE
DELTA, UT
(39.34974253100006, -112.56026558899998)"
"14",460042,"LAKEVIEW HOSPITAL",84010,"DAVIS",8.01e+09,"H_COMP_1_U_P","Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",20,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT 84010
(40.88668360400004, -111.86823969799997)","630 EAST MEDICAL DRIVE
BOUNTIFUL, UT
(40.88668360400004, -111.86823969799997)"
"15",460021,"DIXIE REGIONAL MEDICAL CENTER",84790,"WASHINGTON",4.35e+09,"H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",2,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT 84790
(37.09982198100005, -113.55333508599995)","1380 EAST MEDICAL CENTER DRIVE
ST GEORGE, UT
(37.09982198100005, -113.55333508599995)"
"16",460011,"CASTLEVIEW HOSPITAL",84501,"CARBON",4.36e+09,"H_COMP_6_N_P","Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",11,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","300 NORTH HOSPITAL DRIVE
PRICE, UT 84501
(39.60453376300006, -110.83118408299998)","300 NORTH HOSPITAL DRIVE
PRICE, UT
(39.60453376300006, -110.83118408299998)"
"17",460051,"JORDAN VALLEY MEDICAL CENTER",84088,"SALT LAKE",8.02e+09,"H_COMP_3_SN_P","Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",11,"300 or more",28,NA,"01/01/2013 12:00:00 AM","########","3580 WEST 9000 SOUTH
WEST JORDAN, UT 84088
(40.58793342400003, -111.97527612899995)","3580 WEST 9000 SOUTH
WEST JORDAN, UT
(40.58793342400003, -111.97527612899995)"
"18",460019,"UINTAH BASIN MEDICAL CENTER",84066,"DUCHESNE",4.36e+09,"H_COMP_6_Y_P","Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",82,"300 or more",27,NA,"01/01/2013 12:00:00 AM","########","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT 84066
(40.303424936000056, -109.99608898599996)","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT
(40.303424936000056, -109.99608898599996)"
"19",460001,"UTAH VALLEY REGIONAL MEDICAL CENTER",84604,"UTAH",8.01e+09,"H_RECMND_DN","Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",2,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1034 NORTH 500 WEST
PROVO, UT 84604
(40.24649080700004, -111.66739467299999)","1034 NORTH 500 WEST
PROVO, UT
(40.24649080700004, -111.66739467299999)"
"20",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_QUIET_HSP_A_P","Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",53,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"21",460004,"MCKAY DEE HOSPITAL",84403,"WEBER",8.01e+09,"H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",81,"300 or more",40,NA,"01/01/2013 12:00:00 AM","########","4401 HARRISON BOULEVARD
OGDEN, UT 84403
(41.182842762000064, -111.94917334099995)","4401 HARRISON BOULEVARD
OGDEN, UT
(41.182842762000064, -111.94917334099995)"
"22",460026,"SEVIER VALLEY MEDICAL CENTER",84701,"SEVIER",4.36e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",4,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","1000 NORTH MAIN STREET
RICHFIELD, UT 84701
(38.78209039200004, -112.08475199999998)","1000 NORTH MAIN STREET
RICHFIELD, UT
(38.78209039200004, -112.08475199999998)"
"23",460044,"ALTA VIEW HOSPITAL",84094,"SALT LAKE",8.02e+09,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",1,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","9660 SOUTH 1300 EAST
SANDY, UT 84094
(40.575599778000026, -111.85317706999996)","9660 SOUTH 1300 EAST
SANDY, UT
(40.575599778000026, -111.85317706999996)"
"24",461309,"KANE COUNTY HOSPITAL",84741,"KANE",4.36e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",10,"Fewer than 100",40,6,"01/01/2013 12:00:00 AM","########","355 NORTH MAIN STREET
KANAB, UT 84741
(37.05415050100004, -112.52862508099997)","355 NORTH MAIN STREET
KANAB, UT
(37.05415050100004, -112.52862508099997)"
"25",461309,"KANE COUNTY HOSPITAL",84741,"KANE",4.36e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",8,"Fewer than 100",40,6,"01/01/2013 12:00:00 AM","########","355 NORTH MAIN STREET
KANAB, UT 84741
(37.05415050100004, -112.52862508099997)","355 NORTH MAIN STREET
KANAB, UT
(37.05415050100004, -112.52862508099997)"
"26",461304,"CENTRAL VALLEY MEDICAL CENTER - CAH",84648,"JUAB",4.36e+09,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",80,"Between 100 and 299",46,NA,"01/01/2013 12:00:00 AM","########","48 WEST 1500 NORTH
NEPHI, UT 84648
(39.730628066000065, -111.83705088599999)","48 WEST 1500 NORTH
NEPHI, UT
(39.730628066000065, -111.83705088599999)"
"27",460043,"OREM COMMUNITY HOSPITAL",84057,"UTAH",8.02e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",12,"300 or more",44,NA,"01/01/2013 12:00:00 AM","########","331 NORTH 400 WEST
OREM, UT 84057
(40.30326027600006, -111.70545684599995)","331 NORTH 400 WEST
OREM, UT
(40.30326027600006, -111.70545684599995)"
"28",460059,"LANDMARK HOSPITAL OF SALT LAKE CITY, LLC",84107,"SALT LAKE",8.01e+09,"H_RECMND_PY","Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",NA,"Not Available",NA,5,"01/01/2013 12:00:00 AM","########","4252 S BIRKHILL BLVD
MURRAY, UT 84107
(40.678414359000044, -111.89280785599999)","4252 S BIRKHILL BLVD
MURRAY, UT
(40.678414359000044, -111.89280785599999)"
"29",461307,"HEBER VALLEY MEDICAL CENTER",84032,"WASATCH",4.36e+09,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",12,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","1485 SOUTH HIGHWAY 40
HEBER CITY, UT 84032
(40.488898352000035, -111.40908450799998)","1485 SOUTH HIGHWAY 40
HEBER CITY, UT
(40.488898352000035, -111.40908450799998)"
"30",460019,"UINTAH BASIN MEDICAL CENTER",84066,"DUCHESNE",4.36e+09,"H_HSP_RATING_0_6","Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""6"" or lower (low)",8,"300 or more",27,NA,"01/01/2013 12:00:00 AM","########","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT 84066
(40.303424936000056, -109.99608898599996)","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT
(40.303424936000056, -109.99608898599996)"
"31",461304,"CENTRAL VALLEY MEDICAL CENTER - CAH",84648,"JUAB",4.36e+09,"H_COMP_1_SN_P","Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",3,"Between 100 and 299",46,NA,"01/01/2013 12:00:00 AM","########","48 WEST 1500 NORTH
NEPHI, UT 84648
(39.730628066000065, -111.83705088599999)","48 WEST 1500 NORTH
NEPHI, UT
(39.730628066000065, -111.83705088599999)"
"32",460054,"CACHE VALLEY SPECIALITY HOSPITAL",84341,"CACHE",4.36e+09,"H_RECMND_DN","Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",4,"Between 100 and 299",60,NA,"01/01/2013 12:00:00 AM","########","2380 NORTH 400 EAST
NORTH LOGAN, UT 84341
(41.77553825700005, -111.82310081999998)","2380 NORTH 400 EAST
NORTH LOGAN, UT
(41.77553825700005, -111.82310081999998)"
"33",460011,"CASTLEVIEW HOSPITAL",84501,"CARBON",4.36e+09,"H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",70,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","300 NORTH HOSPITAL DRIVE
PRICE, UT 84501
(39.60453376300006, -110.83118408299998)","300 NORTH HOSPITAL DRIVE
PRICE, UT
(39.60453376300006, -110.83118408299998)"
"34",460049,"THE ORTHOPEDIC SPECIALTY HOSPITAL",84107,"SALT LAKE",8.01e+09,"H_COMP_7_SA","Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who â€œStrongly Agreeâ€ they understood their care when they left the hospital",61,"300 or more",56,NA,"01/01/2013 12:00:00 AM","########","5848 SOUTH 300 EAST
MURRAY, UT 84107
(40.64408365700007, -111.89840841299997)","5848 SOUTH 300 EAST
MURRAY, UT
(40.64408365700007, -111.89840841299997)"
"35",461309,"KANE COUNTY HOSPITAL",84741,"KANE",4.36e+09,"H_QUIET_HSP_A_P","Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",78,"Fewer than 100",40,6,"01/01/2013 12:00:00 AM","########","355 NORTH MAIN STREET
KANAB, UT 84741
(37.05415050100004, -112.52862508099997)","355 NORTH MAIN STREET
KANAB, UT
(37.05415050100004, -112.52862508099997)"
"36",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_4_SN_P","Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",5,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"37",460033,"GARFIELD MEMORIAL HOSPITAL",84759,"GARFIELD",4.36e+09,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",9,"Fewer than 100",31,6,"01/01/2013 12:00:00 AM","########","200 NORTH 400 EAST
PANGUITCH, UT 84759
(37.82597250800006, -112.42784327299995)","200 NORTH 400 EAST
PANGUITCH, UT
(37.82597250800006, -112.42784327299995)"
"38",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_RECMND_DN","Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",1,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"39",460058,"RIVERTON HOSPITAL",84065,"SALT LAKE",8.01e+09,"H_HSP_RATING_9_10","Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave a rating of ""9"" or ""10"" (high)",76,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","3741 WEST 12600 SOUTH
RIVERTON, UT 84065
(40.52227547500007, -111.979928471)","3741 WEST 12600 SOUTH
RIVERTON, UT
(40.52227547500007, -111.979928471)"
"40",460058,"RIVERTON HOSPITAL",84065,"SALT LAKE",8.01e+09,"H_COMP_2_SN_P","Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",2,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","3741 WEST 12600 SOUTH
RIVERTON, UT 84065
(40.52227547500007, -111.979928471)","3741 WEST 12600 SOUTH
RIVERTON, UT
(40.52227547500007, -111.979928471)"
"41",460007,"VALLEY VIEW MEDICAL CENTER",84721,"IRON",4.36e+09,"H_COMP_3_SN_P","Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",3,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","1303 NORTH MAIN STREET
CEDAR CITY, UT 84721
(37.70026348600004, -113.06404143699996)","1303 NORTH MAIN STREET
CEDAR CITY, UT
(37.70026348600004, -113.06404143699996)"
"42",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_QUIET_HSP_SN_P","Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",11,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"43",460006,"LDS HOSPITAL",84143,"SALT LAKE",8.01e+09,"H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",83,"300 or more",37,NA,"01/01/2013 12:00:00 AM","########","8TH AVENUE AND C STREET
SALT LAKE CITY, UT 84143
(40.778499871000065, -111.87863972099996)","8TH AVENUE AND C STREET
SALT LAKE CITY, UT
(40.65968998000005, -111.91300138699995)"
"44",460041,"DAVIS HOSPITAL AND MEDICAL CENTER",84041,"DAVIS",8.02e+09,"H_COMP_4_U_P","Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",25,"300 or more",33,NA,"01/01/2013 12:00:00 AM","########","1600 WEST ANTELOPE DRIVE
LAYTON, UT 84041
(41.08921787400004, -111.99543086899996)","1600 WEST ANTELOPE DRIVE
LAYTON, UT
(41.08921787400004, -111.99543086899996)"
"45",460009,"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND  CLINICS",84132,"SALT LAKE",8.02e+09,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",18,"300 or more",31,NA,"01/01/2013 12:00:00 AM","########","50 NORTH MEDICAL DRIVE
SALT LAKE CITY, UT 84132
(40.77298795200005, -111.83684362499997)","50 NORTH MEDICAL DRIVE
SALT LAKE CITY, UT
(40.77298795200005, -111.83684362499997)"
"46",460039,"BEAR RIVER VALLEY HOSPITAL",84337,"BOX ELDER",4.35e+09,"H_QUIET_HSP_U_P","Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",23,"Fewer than 100",36,6,"01/01/2013 12:00:00 AM","########","905 NORTH 1000 WEST
TREMONTON, UT 84337
(41.72342380200007, -112.18143967599997)","905 NORTH 1000 WEST
TREMONTON, UT
(41.72342380200007, -112.18143967599997)"
"47",460057,"PARK CITY MEDICAL CENTER",84060,"SUMMIT",4.36e+09,"H_COMP_4_A_P","Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",76,"300 or more",41,NA,"01/01/2013 12:00:00 AM","########","900 ROUND VALLEY DRIVE
PARK CITY, UT 84060
(40.68647486900005, -111.46651672699994)","900 ROUND VALLEY DRIVE
PARK CITY, UT
(40.68647486900005, -111.46651672699994)"
"48",460030,"ASHLEY REGIONAL MEDICAL CENTER",84078,"UINTAH",4.36e+09,"H_COMP_7_SA","Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who â€œStrongly Agreeâ€ they understood their care when they left the hospital",49,"300 or more",30,NA,"01/01/2013 12:00:00 AM","########","150 WEST 100 NORTH
VERNAL, UT 84078
(40.457921845000044, -109.52668436499994)","150 WEST 100 NORTH
VERNAL, UT
(40.457921845000044, -109.52668436499994)"
"49",460019,"UINTAH BASIN MEDICAL CENTER",84066,"DUCHESNE",4.36e+09,"H_CLEAN_HSP_A_P","Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",70,"300 or more",27,NA,"01/01/2013 12:00:00 AM","########","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT 84066
(40.303424936000056, -109.99608898599996)","250 WEST 300 NORTH (75-2)
ROOSEVELT, UT
(40.303424936000056, -109.99608898599996)"
"50",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",80,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"51",460026,"SEVIER VALLEY MEDICAL CENTER",84701,"SEVIER",4.36e+09,"H_COMP_1_A_P","Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",85,"Between 100 and 299",37,NA,"01/01/2013 12:00:00 AM","########","1000 NORTH MAIN STREET
RICHFIELD, UT 84701
(38.78209039200004, -112.08475199999998)","1000 NORTH MAIN STREET
RICHFIELD, UT
(38.78209039200004, -112.08475199999998)"
"52",460006,"LDS HOSPITAL",84143,"SALT LAKE",8.01e+09,"H_COMP_2_U_P","Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",16,"300 or more",37,NA,"01/01/2013 12:00:00 AM","########","8TH AVENUE AND C STREET
SALT LAKE CITY, UT 84143
(40.778499871000065, -111.87863972099996)","8TH AVENUE AND C STREET
SALT LAKE CITY, UT
(40.65968998000005, -111.91300138699995)"
"53",460044,"ALTA VIEW HOSPITAL",84094,"SALT LAKE",8.02e+09,"H_COMP_3_U_P","Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",27,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","9660 SOUTH 1300 EAST
SANDY, UT 84094
(40.575599778000026, -111.85317706999996)","9660 SOUTH 1300 EAST
SANDY, UT
(40.575599778000026, -111.85317706999996)"
"54",460013,"MOUNTAIN VIEW HOSPITAL",84651,"UTAH",8.01e+09,"H_COMP_3_SN_P","Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",8,"300 or more",38,NA,"01/01/2013 12:00:00 AM","########","1000 EAST 100 NORTH
PAYSON, UT 84651
(40.04461333800003, -111.71522704399996)","1000 EAST 100 NORTH
PAYSON, UT
(40.04461333800003, -111.71522704399996)"
"55",460035,"BEAVER VALLEY HOSPITAL",84713,"BEAVER",4.35e+09,"H_COMP_2_A_P","Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",85,"Fewer than 100",28,10,"01/01/2013 12:00:00 AM","########","1109 NORTH 100 WEST
BEAVER, UT 84713
(38.289840242000025, -112.64318848899995)","1109 NORTH 100 WEST
BEAVER, UT
(38.289840242000025, -112.64318848899995)"
"56",460005,"OGDEN REGIONAL MEDICAL CENTER",84405,"WEBER",8.01e+09,"H_COMP_7_D_SD","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital","Patients who â€œDisagreeâ€ or â€œStrongly Disagreeâ€ they understood their care when they left the hospital",7,"300 or more",36,NA,"01/01/2013 12:00:00 AM","########","5475 SOUTH 500 EAST
OGDEN, UT 84405
(41.16341207600004, -111.96866503299998)","5475 SOUTH 500 EAST
OGDEN, UT
(41.16341207600004, -111.96866503299998)"
"57",460011,"CASTLEVIEW HOSPITAL",84501,"CARBON",4.36e+09,"H_CLEAN_HSP_U_P","Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",20,"300 or more",39,NA,"01/01/2013 12:00:00 AM","########","300 NORTH HOSPITAL DRIVE
PRICE, UT 84501
(39.60453376300006, -110.83118408299998)","300 NORTH HOSPITAL DRIVE
PRICE, UT
(39.60453376300006, -110.83118408299998)"
"58",460041,"DAVIS HOSPITAL AND MEDICAL CENTER",84041,"DAVIS",8.02e+09,"H_COMP_5_SN_P","Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",19,"300 or more",33,NA,"01/01/2013 12:00:00 AM","########","1600 WEST ANTELOPE DRIVE
LAYTON, UT 84041
(41.08921787400004, -111.99543086899996)","1600 WEST ANTELOPE DRIVE
LAYTON, UT
(41.08921787400004, -111.99543086899996)"
